"ecoregion","metierL4","species"
"Ionian Sea and the Central Mediterranean Sea","OTM","Acipenser stellatus"
"Norwegian Sea","OTM","Acipenser stellatus"
"Oceanic Northeast Atlantic","OTM","Acipenser stellatus"
"Western Mediterranean Sea","OTM","Acipenser stellatus"
"Adriatic Sea","TBB","Acipenser stellatus"
"Barents Sea","TBB","Acipenser stellatus"
"Bay of Biscay and the Iberian Coast","TBB","Acipenser stellatus"
"Black Sea","TBB","Acipenser stellatus"
"Celtic Seas","TBB","Acipenser stellatus"
"Greater North Sea","TBB","Acipenser stellatus"
"Norwegian Sea","TBB","Acipenser stellatus"
"Western Mediterranean Sea","TBB","Acipenser stellatus"
"Adriatic Sea","GTR","Aetomylaeus bovinus"
"Aegean-Levantine Sea","GTR","Aetomylaeus bovinus"
"Baltic Sea","GTR","Aetomylaeus bovinus"
"Bay of Biscay and the Iberian Coast","GTR","Aetomylaeus bovinus"
"Celtic Seas","GTR","Aetomylaeus bovinus"
"Greater North Sea","GTR","Aetomylaeus bovinus"
"Ionian Sea and the Central Mediterranean Sea","GTR","Aetomylaeus bovinus"
"Oceanic Northeast Atlantic","GTR","Aetomylaeus bovinus"
"Western Mediterranean Sea","GTR","Aetomylaeus bovinus"
"Adriatic Sea","LLS","Aetomylaeus bovinus"
"Aegean-Levantine Sea","LLS","Aetomylaeus bovinus"
"Azores","LLS","Aetomylaeus bovinus"
"Baltic Sea","LLS","Aetomylaeus bovinus"
"Bay of Biscay and the Iberian Coast","LLS","Aetomylaeus bovinus"
"Black Sea","LLS","Aetomylaeus bovinus"
"Celtic Seas","LLS","Aetomylaeus bovinus"
"Faroes","LLS","Aetomylaeus bovinus"
"Greater North Sea","LLS","Aetomylaeus bovinus"
"Icelandic Waters","LLS","Aetomylaeus bovinus"
"Ionian Sea and the Central Mediterranean Sea","LLS","Aetomylaeus bovinus"
"Oceanic Northeast Atlantic","LLS","Aetomylaeus bovinus"
"Western Mediterranean Sea","LLS","Aetomylaeus bovinus"
"Adriatic Sea","OTB","Aetomylaeus bovinus"
"Aegean-Levantine Sea","OTB","Aetomylaeus bovinus"
"Baltic Sea","OTB","Aetomylaeus bovinus"
"Barents Sea","OTB","Aetomylaeus bovinus"
"Bay of Biscay and the Iberian Coast","OTB","Aetomylaeus bovinus"
"Celtic Seas","OTB","Aetomylaeus bovinus"
"Faroes","OTB","Aetomylaeus bovinus"
"Greater North Sea","OTB","Aetomylaeus bovinus"
"Greenland Sea","OTB","Aetomylaeus bovinus"
"Icelandic Waters","OTB","Aetomylaeus bovinus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Aetomylaeus bovinus"
"Norwegian Sea","OTB","Aetomylaeus bovinus"
"Oceanic Northeast Atlantic","OTB","Aetomylaeus bovinus"
"Western Mediterranean Sea","OTB","Aetomylaeus bovinus"
NA,"OTB","Aetomylaeus bovinus"
"Adriatic Sea","PTM","Aetomylaeus bovinus"
"Baltic Sea","PTM","Aetomylaeus bovinus"
"Bay of Biscay and the Iberian Coast","PTM","Aetomylaeus bovinus"
"Celtic Seas","PTM","Aetomylaeus bovinus"
"Greater North Sea","PTM","Aetomylaeus bovinus"
"Ionian Sea and the Central Mediterranean Sea","PTM","Aetomylaeus bovinus"
"Norwegian Sea","PTM","Aetomylaeus bovinus"
"Oceanic Northeast Atlantic","PTM","Aetomylaeus bovinus"
"Western Mediterranean Sea","PTM","Aetomylaeus bovinus"
"Adriatic Sea","FPO","Alburnus alburnus"
"Aegean-Levantine Sea","FPO","Alburnus alburnus"
"Azores","FPO","Alburnus alburnus"
"Baltic Sea","FPO","Alburnus alburnus"
"Bay of Biscay and the Iberian Coast","FPO","Alburnus alburnus"
"Black Sea","FPO","Alburnus alburnus"
"Celtic Seas","FPO","Alburnus alburnus"
"Faroes","FPO","Alburnus alburnus"
"Greater North Sea","FPO","Alburnus alburnus"
"Icelandic Waters","FPO","Alburnus alburnus"
"Ionian Sea and the Central Mediterranean Sea","FPO","Alburnus alburnus"
"Oceanic Northeast Atlantic","FPO","Alburnus alburnus"
"Western Mediterranean Sea","FPO","Alburnus alburnus"
"Adriatic Sea","GND","Alca torda"
"Bay of Biscay and the Iberian Coast","GND","Alca torda"
"Celtic Seas","GND","Alca torda"
"Greater North Sea","GND","Alca torda"
"Ionian Sea and the Central Mediterranean Sea","GND","Alca torda"
"Western Mediterranean Sea","GND","Alca torda"
"Adriatic Sea","GNS","Alca torda"
"Aegean-Levantine Sea","GNS","Alca torda"
"Azores","GNS","Alca torda"
"Baltic Sea","GNS","Alca torda"
"Barents Sea","GNS","Alca torda"
"Bay of Biscay and the Iberian Coast","GNS","Alca torda"
"Black Sea","GNS","Alca torda"
"Celtic Seas","GNS","Alca torda"
"Greater North Sea","GNS","Alca torda"
"Icelandic Waters","GNS","Alca torda"
"Ionian Sea and the Central Mediterranean Sea","GNS","Alca torda"
"Norwegian Sea","GNS","Alca torda"
"Oceanic Northeast Atlantic","GNS","Alca torda"
"Western Mediterranean Sea","GNS","Alca torda"
"Adriatic Sea","GTR","Alca torda"
"Aegean-Levantine Sea","GTR","Alca torda"
"Baltic Sea","GTR","Alca torda"
"Bay of Biscay and the Iberian Coast","GTR","Alca torda"
"Celtic Seas","GTR","Alca torda"
"Greater North Sea","GTR","Alca torda"
"Ionian Sea and the Central Mediterranean Sea","GTR","Alca torda"
"Oceanic Northeast Atlantic","GTR","Alca torda"
"Western Mediterranean Sea","GTR","Alca torda"
"Adriatic Sea","GNS","Alcidae"
"Aegean-Levantine Sea","GNS","Alcidae"
"Azores","GNS","Alcidae"
"Baltic Sea","GNS","Alcidae"
"Barents Sea","GNS","Alcidae"
"Bay of Biscay and the Iberian Coast","GNS","Alcidae"
"Black Sea","GNS","Alcidae"
"Celtic Seas","GNS","Alcidae"
"Greater North Sea","GNS","Alcidae"
"Icelandic Waters","GNS","Alcidae"
"Ionian Sea and the Central Mediterranean Sea","GNS","Alcidae"
"Norwegian Sea","GNS","Alcidae"
"Oceanic Northeast Atlantic","GNS","Alcidae"
"Western Mediterranean Sea","GNS","Alcidae"
"Adriatic Sea","GTR","Alcidae"
"Aegean-Levantine Sea","GTR","Alcidae"
"Baltic Sea","GTR","Alcidae"
"Bay of Biscay and the Iberian Coast","GTR","Alcidae"
"Celtic Seas","GTR","Alcidae"
"Greater North Sea","GTR","Alcidae"
"Ionian Sea and the Central Mediterranean Sea","GTR","Alcidae"
"Oceanic Northeast Atlantic","GTR","Alcidae"
"Western Mediterranean Sea","GTR","Alcidae"
"Adriatic Sea","LLD","Alepisaurus ferox"
"Aegean-Levantine Sea","LLD","Alepisaurus ferox"
"Azores","LLD","Alepisaurus ferox"
"Baltic Sea","LLD","Alepisaurus ferox"
"Bay of Biscay and the Iberian Coast","LLD","Alepisaurus ferox"
"Black Sea","LLD","Alepisaurus ferox"
"Celtic Seas","LLD","Alepisaurus ferox"
"Greater North Sea","LLD","Alepisaurus ferox"
"Ionian Sea and the Central Mediterranean Sea","LLD","Alepisaurus ferox"
"Oceanic Northeast Atlantic","LLD","Alepisaurus ferox"
"Western Mediterranean Sea","LLD","Alepisaurus ferox"
NA,"LLD","Alepisaurus ferox"
"Adriatic Sea","OTB","Alepocephalus bairdii"
"Aegean-Levantine Sea","OTB","Alepocephalus bairdii"
"Baltic Sea","OTB","Alepocephalus bairdii"
"Barents Sea","OTB","Alepocephalus bairdii"
"Bay of Biscay and the Iberian Coast","OTB","Alepocephalus bairdii"
"Celtic Seas","OTB","Alepocephalus bairdii"
"Faroes","OTB","Alepocephalus bairdii"
"Greater North Sea","OTB","Alepocephalus bairdii"
"Greenland Sea","OTB","Alepocephalus bairdii"
"Icelandic Waters","OTB","Alepocephalus bairdii"
"Ionian Sea and the Central Mediterranean Sea","OTB","Alepocephalus bairdii"
"Norwegian Sea","OTB","Alepocephalus bairdii"
"Oceanic Northeast Atlantic","OTB","Alepocephalus bairdii"
"Western Mediterranean Sea","OTB","Alepocephalus bairdii"
NA,"OTB","Alepocephalus bairdii"
"Adriatic Sea","OTB","Alepocephalus rostratus"
"Aegean-Levantine Sea","OTB","Alepocephalus rostratus"
"Baltic Sea","OTB","Alepocephalus rostratus"
"Barents Sea","OTB","Alepocephalus rostratus"
"Bay of Biscay and the Iberian Coast","OTB","Alepocephalus rostratus"
"Celtic Seas","OTB","Alepocephalus rostratus"
"Faroes","OTB","Alepocephalus rostratus"
"Greater North Sea","OTB","Alepocephalus rostratus"
"Greenland Sea","OTB","Alepocephalus rostratus"
"Icelandic Waters","OTB","Alepocephalus rostratus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Alepocephalus rostratus"
"Norwegian Sea","OTB","Alepocephalus rostratus"
"Oceanic Northeast Atlantic","OTB","Alepocephalus rostratus"
"Western Mediterranean Sea","OTB","Alepocephalus rostratus"
NA,"OTB","Alepocephalus rostratus"
"Adriatic Sea","GTR","Alopias superciliosus"
"Aegean-Levantine Sea","GTR","Alopias superciliosus"
"Baltic Sea","GTR","Alopias superciliosus"
"Bay of Biscay and the Iberian Coast","GTR","Alopias superciliosus"
"Celtic Seas","GTR","Alopias superciliosus"
"Greater North Sea","GTR","Alopias superciliosus"
"Ionian Sea and the Central Mediterranean Sea","GTR","Alopias superciliosus"
"Oceanic Northeast Atlantic","GTR","Alopias superciliosus"
"Western Mediterranean Sea","GTR","Alopias superciliosus"
"Adriatic Sea","LLD","Alopias superciliosus"
"Aegean-Levantine Sea","LLD","Alopias superciliosus"
"Azores","LLD","Alopias superciliosus"
"Baltic Sea","LLD","Alopias superciliosus"
"Bay of Biscay and the Iberian Coast","LLD","Alopias superciliosus"
"Black Sea","LLD","Alopias superciliosus"
"Celtic Seas","LLD","Alopias superciliosus"
"Greater North Sea","LLD","Alopias superciliosus"
"Ionian Sea and the Central Mediterranean Sea","LLD","Alopias superciliosus"
"Oceanic Northeast Atlantic","LLD","Alopias superciliosus"
"Western Mediterranean Sea","LLD","Alopias superciliosus"
NA,"LLD","Alopias superciliosus"
"Adriatic Sea","LLD","Alopias vulpinus"
"Aegean-Levantine Sea","LLD","Alopias vulpinus"
"Azores","LLD","Alopias vulpinus"
"Baltic Sea","LLD","Alopias vulpinus"
"Bay of Biscay and the Iberian Coast","LLD","Alopias vulpinus"
"Black Sea","LLD","Alopias vulpinus"
"Celtic Seas","LLD","Alopias vulpinus"
"Greater North Sea","LLD","Alopias vulpinus"
"Ionian Sea and the Central Mediterranean Sea","LLD","Alopias vulpinus"
"Oceanic Northeast Atlantic","LLD","Alopias vulpinus"
"Western Mediterranean Sea","LLD","Alopias vulpinus"
NA,"LLD","Alopias vulpinus"
"Adriatic Sea","OTM","Alopias vulpinus"
"Baltic Sea","OTM","Alopias vulpinus"
"Bay of Biscay and the Iberian Coast","OTM","Alopias vulpinus"
"Black Sea","OTM","Alopias vulpinus"
"Celtic Seas","OTM","Alopias vulpinus"
"Faroes","OTM","Alopias vulpinus"
"Greater North Sea","OTM","Alopias vulpinus"
"Icelandic Waters","OTM","Alopias vulpinus"
"Ionian Sea and the Central Mediterranean Sea","OTM","Alopias vulpinus"
"Norwegian Sea","OTM","Alopias vulpinus"
"Oceanic Northeast Atlantic","OTM","Alopias vulpinus"
"Western Mediterranean Sea","OTM","Alopias vulpinus"
"Adriatic Sea","PTM","Alopias vulpinus"
"Baltic Sea","PTM","Alopias vulpinus"
"Bay of Biscay and the Iberian Coast","PTM","Alopias vulpinus"
"Celtic Seas","PTM","Alopias vulpinus"
"Greater North Sea","PTM","Alopias vulpinus"
"Ionian Sea and the Central Mediterranean Sea","PTM","Alopias vulpinus"
"Norwegian Sea","PTM","Alopias vulpinus"
"Oceanic Northeast Atlantic","PTM","Alopias vulpinus"
"Western Mediterranean Sea","PTM","Alopias vulpinus"
"Adriatic Sea","GNS","Alosa"
"Aegean-Levantine Sea","GNS","Alosa"
"Azores","GNS","Alosa"
"Baltic Sea","GNS","Alosa"
"Barents Sea","GNS","Alosa"
"Bay of Biscay and the Iberian Coast","GNS","Alosa"
"Black Sea","GNS","Alosa"
"Celtic Seas","GNS","Alosa"
"Greater North Sea","GNS","Alosa"
"Icelandic Waters","GNS","Alosa"
"Ionian Sea and the Central Mediterranean Sea","GNS","Alosa"
"Norwegian Sea","GNS","Alosa"
"Oceanic Northeast Atlantic","GNS","Alosa"
"Western Mediterranean Sea","GNS","Alosa"
"Adriatic Sea","GTR","Alosa"
"Aegean-Levantine Sea","GTR","Alosa"
"Baltic Sea","GTR","Alosa"
"Bay of Biscay and the Iberian Coast","GTR","Alosa"
"Celtic Seas","GTR","Alosa"
"Greater North Sea","GTR","Alosa"
"Ionian Sea and the Central Mediterranean Sea","GTR","Alosa"
"Oceanic Northeast Atlantic","GTR","Alosa"
"Western Mediterranean Sea","GTR","Alosa"
"Adriatic Sea","OTB","Alosa"
"Aegean-Levantine Sea","OTB","Alosa"
"Baltic Sea","OTB","Alosa"
"Barents Sea","OTB","Alosa"
"Bay of Biscay and the Iberian Coast","OTB","Alosa"
"Celtic Seas","OTB","Alosa"
"Faroes","OTB","Alosa"
"Greater North Sea","OTB","Alosa"
"Greenland Sea","OTB","Alosa"
"Icelandic Waters","OTB","Alosa"
"Ionian Sea and the Central Mediterranean Sea","OTB","Alosa"
"Norwegian Sea","OTB","Alosa"
"Oceanic Northeast Atlantic","OTB","Alosa"
"Western Mediterranean Sea","OTB","Alosa"
NA,"OTB","Alosa"
"Adriatic Sea","GNS","Alosa alosa"
"Aegean-Levantine Sea","GNS","Alosa alosa"
"Azores","GNS","Alosa alosa"
"Baltic Sea","GNS","Alosa alosa"
"Barents Sea","GNS","Alosa alosa"
"Bay of Biscay and the Iberian Coast","GNS","Alosa alosa"
"Black Sea","GNS","Alosa alosa"
"Celtic Seas","GNS","Alosa alosa"
"Greater North Sea","GNS","Alosa alosa"
"Icelandic Waters","GNS","Alosa alosa"
"Ionian Sea and the Central Mediterranean Sea","GNS","Alosa alosa"
"Norwegian Sea","GNS","Alosa alosa"
"Oceanic Northeast Atlantic","GNS","Alosa alosa"
"Western Mediterranean Sea","GNS","Alosa alosa"
"Adriatic Sea","LHM","Alosa alosa"
"Bay of Biscay and the Iberian Coast","LHM","Alosa alosa"
"Black Sea","LHM","Alosa alosa"
"Greater North Sea","LHM","Alosa alosa"
"Icelandic Waters","LHM","Alosa alosa"
"Ionian Sea and the Central Mediterranean Sea","LHM","Alosa alosa"
"Western Mediterranean Sea","LHM","Alosa alosa"
"Adriatic Sea","OTB","Alosa alosa"
"Aegean-Levantine Sea","OTB","Alosa alosa"
"Baltic Sea","OTB","Alosa alosa"
"Barents Sea","OTB","Alosa alosa"
"Bay of Biscay and the Iberian Coast","OTB","Alosa alosa"
"Celtic Seas","OTB","Alosa alosa"
"Faroes","OTB","Alosa alosa"
"Greater North Sea","OTB","Alosa alosa"
"Greenland Sea","OTB","Alosa alosa"
"Icelandic Waters","OTB","Alosa alosa"
"Ionian Sea and the Central Mediterranean Sea","OTB","Alosa alosa"
"Norwegian Sea","OTB","Alosa alosa"
"Oceanic Northeast Atlantic","OTB","Alosa alosa"
"Western Mediterranean Sea","OTB","Alosa alosa"
NA,"OTB","Alosa alosa"
"Baltic Sea","PTB","Alosa alosa"
"Bay of Biscay and the Iberian Coast","PTB","Alosa alosa"
"Celtic Seas","PTB","Alosa alosa"
"Greater North Sea","PTB","Alosa alosa"
"Adriatic Sea","FPO","Alosa fallax"
"Aegean-Levantine Sea","FPO","Alosa fallax"
"Azores","FPO","Alosa fallax"
"Baltic Sea","FPO","Alosa fallax"
"Bay of Biscay and the Iberian Coast","FPO","Alosa fallax"
"Black Sea","FPO","Alosa fallax"
"Celtic Seas","FPO","Alosa fallax"
"Faroes","FPO","Alosa fallax"
"Greater North Sea","FPO","Alosa fallax"
"Icelandic Waters","FPO","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","FPO","Alosa fallax"
"Oceanic Northeast Atlantic","FPO","Alosa fallax"
"Western Mediterranean Sea","FPO","Alosa fallax"
"Adriatic Sea","FYK","Alosa fallax"
"Baltic Sea","FYK","Alosa fallax"
"Bay of Biscay and the Iberian Coast","FYK","Alosa fallax"
"Greater North Sea","FYK","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","FYK","Alosa fallax"
"Western Mediterranean Sea","FYK","Alosa fallax"
"Adriatic Sea","GND","Alosa fallax"
"Bay of Biscay and the Iberian Coast","GND","Alosa fallax"
"Celtic Seas","GND","Alosa fallax"
"Greater North Sea","GND","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","GND","Alosa fallax"
"Western Mediterranean Sea","GND","Alosa fallax"
"Adriatic Sea","GNS","Alosa fallax"
"Aegean-Levantine Sea","GNS","Alosa fallax"
"Azores","GNS","Alosa fallax"
"Baltic Sea","GNS","Alosa fallax"
"Barents Sea","GNS","Alosa fallax"
"Bay of Biscay and the Iberian Coast","GNS","Alosa fallax"
"Black Sea","GNS","Alosa fallax"
"Celtic Seas","GNS","Alosa fallax"
"Greater North Sea","GNS","Alosa fallax"
"Icelandic Waters","GNS","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","GNS","Alosa fallax"
"Norwegian Sea","GNS","Alosa fallax"
"Oceanic Northeast Atlantic","GNS","Alosa fallax"
"Western Mediterranean Sea","GNS","Alosa fallax"
"Adriatic Sea","GTR","Alosa fallax"
"Aegean-Levantine Sea","GTR","Alosa fallax"
"Baltic Sea","GTR","Alosa fallax"
"Bay of Biscay and the Iberian Coast","GTR","Alosa fallax"
"Celtic Seas","GTR","Alosa fallax"
"Greater North Sea","GTR","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","GTR","Alosa fallax"
"Oceanic Northeast Atlantic","GTR","Alosa fallax"
"Western Mediterranean Sea","GTR","Alosa fallax"
"Adriatic Sea","OTB","Alosa fallax"
"Aegean-Levantine Sea","OTB","Alosa fallax"
"Baltic Sea","OTB","Alosa fallax"
"Barents Sea","OTB","Alosa fallax"
"Bay of Biscay and the Iberian Coast","OTB","Alosa fallax"
"Celtic Seas","OTB","Alosa fallax"
"Faroes","OTB","Alosa fallax"
"Greater North Sea","OTB","Alosa fallax"
"Greenland Sea","OTB","Alosa fallax"
"Icelandic Waters","OTB","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","OTB","Alosa fallax"
"Norwegian Sea","OTB","Alosa fallax"
"Oceanic Northeast Atlantic","OTB","Alosa fallax"
"Western Mediterranean Sea","OTB","Alosa fallax"
NA,"OTB","Alosa fallax"
"Adriatic Sea","OTM","Alosa fallax"
"Baltic Sea","OTM","Alosa fallax"
"Bay of Biscay and the Iberian Coast","OTM","Alosa fallax"
"Black Sea","OTM","Alosa fallax"
"Celtic Seas","OTM","Alosa fallax"
"Faroes","OTM","Alosa fallax"
"Greater North Sea","OTM","Alosa fallax"
"Icelandic Waters","OTM","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","OTM","Alosa fallax"
"Norwegian Sea","OTM","Alosa fallax"
"Oceanic Northeast Atlantic","OTM","Alosa fallax"
"Western Mediterranean Sea","OTM","Alosa fallax"
"Barents Sea","OTT","Alosa fallax"
"Bay of Biscay and the Iberian Coast","OTT","Alosa fallax"
"Celtic Seas","OTT","Alosa fallax"
"Faroes","OTT","Alosa fallax"
"Greater North Sea","OTT","Alosa fallax"
"Greenland Sea","OTT","Alosa fallax"
"Norwegian Sea","OTT","Alosa fallax"
"Oceanic Northeast Atlantic","OTT","Alosa fallax"
"Western Mediterranean Sea","OTT","Alosa fallax"
"Adriatic Sea","PS","Alosa fallax"
"Aegean-Levantine Sea","PS","Alosa fallax"
"Azores","PS","Alosa fallax"
"Baltic Sea","PS","Alosa fallax"
"Bay of Biscay and the Iberian Coast","PS","Alosa fallax"
"Black Sea","PS","Alosa fallax"
"Celtic Seas","PS","Alosa fallax"
"Greater North Sea","PS","Alosa fallax"
"Icelandic Waters","PS","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","PS","Alosa fallax"
"Western Mediterranean Sea","PS","Alosa fallax"
"Baltic Sea","PTB","Alosa fallax"
"Bay of Biscay and the Iberian Coast","PTB","Alosa fallax"
"Celtic Seas","PTB","Alosa fallax"
"Greater North Sea","PTB","Alosa fallax"
"Adriatic Sea","PTM","Alosa fallax"
"Baltic Sea","PTM","Alosa fallax"
"Bay of Biscay and the Iberian Coast","PTM","Alosa fallax"
"Celtic Seas","PTM","Alosa fallax"
"Greater North Sea","PTM","Alosa fallax"
"Ionian Sea and the Central Mediterranean Sea","PTM","Alosa fallax"
"Norwegian Sea","PTM","Alosa fallax"
"Oceanic Northeast Atlantic","PTM","Alosa fallax"
"Western Mediterranean Sea","PTM","Alosa fallax"
"Baltic Sea","SSC","Alosa fallax"
"Bay of Biscay and the Iberian Coast","SSC","Alosa fallax"
"Celtic Seas","SSC","Alosa fallax"
"Greater North Sea","SSC","Alosa fallax"
"Adriatic Sea","TBB","Alosa fallax"
"Barents Sea","TBB","Alosa fallax"
"Bay of Biscay and the Iberian Coast","TBB","Alosa fallax"
"Black Sea","TBB","Alosa fallax"
"Celtic Seas","TBB","Alosa fallax"
"Greater North Sea","TBB","Alosa fallax"
"Norwegian Sea","TBB","Alosa fallax"
"Western Mediterranean Sea","TBB","Alosa fallax"
"Adriatic Sea","OTB","Amblyraja hyperborea"
"Aegean-Levantine Sea","OTB","Amblyraja hyperborea"
"Baltic Sea","OTB","Amblyraja hyperborea"
"Barents Sea","OTB","Amblyraja hyperborea"
"Bay of Biscay and the Iberian Coast","OTB","Amblyraja hyperborea"
"Celtic Seas","OTB","Amblyraja hyperborea"
"Faroes","OTB","Amblyraja hyperborea"
"Greater North Sea","OTB","Amblyraja hyperborea"
"Greenland Sea","OTB","Amblyraja hyperborea"
"Icelandic Waters","OTB","Amblyraja hyperborea"
"Ionian Sea and the Central Mediterranean Sea","OTB","Amblyraja hyperborea"
"Norwegian Sea","OTB","Amblyraja hyperborea"
"Oceanic Northeast Atlantic","OTB","Amblyraja hyperborea"
"Western Mediterranean Sea","OTB","Amblyraja hyperborea"
NA,"OTB","Amblyraja hyperborea"
"Adriatic Sea","GNS","Amblyraja radiata"
"Aegean-Levantine Sea","GNS","Amblyraja radiata"
"Azores","GNS","Amblyraja radiata"
"Baltic Sea","GNS","Amblyraja radiata"
"Barents Sea","GNS","Amblyraja radiata"
"Bay of Biscay and the Iberian Coast","GNS","Amblyraja radiata"
"Black Sea","GNS","Amblyraja radiata"
"Celtic Seas","GNS","Amblyraja radiata"
"Greater North Sea","GNS","Amblyraja radiata"
"Icelandic Waters","GNS","Amblyraja radiata"
"Ionian Sea and the Central Mediterranean Sea","GNS","Amblyraja radiata"
"Norwegian Sea","GNS","Amblyraja radiata"
"Oceanic Northeast Atlantic","GNS","Amblyraja radiata"
"Western Mediterranean Sea","GNS","Amblyraja radiata"
"Adriatic Sea","OTB","Amblyraja radiata"
"Aegean-Levantine Sea","OTB","Amblyraja radiata"
"Baltic Sea","OTB","Amblyraja radiata"
"Barents Sea","OTB","Amblyraja radiata"
"Bay of Biscay and the Iberian Coast","OTB","Amblyraja radiata"
"Celtic Seas","OTB","Amblyraja radiata"
"Faroes","OTB","Amblyraja radiata"
"Greater North Sea","OTB","Amblyraja radiata"
"Greenland Sea","OTB","Amblyraja radiata"
"Icelandic Waters","OTB","Amblyraja radiata"
